index,depth,os_x,os_y
1,6.3,317812,169313
2,3.3,317810,169335
3,6,317788,169367
4,2.3,317757,169380
5,3.6,317726,169387
6,6.3,317694,169392
7,3.5,317663,169401
8,4.1,317654,169380
9,4.3,317666,169370
10,6.7,317684,169363
11,7.1,317707,169355
12,8,317737,169344
13,6.6,317764,169335
14,8.5,317775,169328
15,7.1,317775,169327
16,5.3,317784,169313
17,,317793,169295
18,7.5,317774,169302
19,7.5,317753,169325
20,7.6,317728,169331
21,7.8,317702,169340
22,2,317678,169340
23,4.8,317664,169341
24,5.5,317646,169343
25,3.2,317625,169342
26,3.1,317616,169323
27,8.6,317631,169314
28,7.6,317654,169312
29,4.4,317677,169309
30,7.7,317708,169307
31,9.5,317738,169300
32,7.3,317760,169282
33,9.2,317774,169268
34,9.2,317791,169257
35,2.9,317798,169249
36,9.5,317778,169251
37,4,317776,169229
38,1.8,317768,169203
39,8.7,317753,169227
40,9.5,317739,169250
41,9.5,317734,169266
42,9.2,317720,169278
43,9.5,317699,169286
44,9,317677,169293
45,9,317652,169299
46,8.2,317621,169301
47,1.8,317604,169313
48,3.8,317586,169297
49,8.7,317588,169281
50,8.3,317600,169282
51,7.6,317620,169279
52,5.3,317642,169274
53,7.1,317660,169273
54,8.3,317681,169269
55,9.5,317698,169263
56,8.3,317715,169254
57,9.5,317721,169243
58,9.7,317727,169227
59,9,317734,169215
60,1.7,317737,169195
61,1.8,317727,169186
62,8.6,317720,169197
63,9.7,317711,169214
64,10,317698,169222
65,9.7,317689,169232
66,9,317683,169244
67,8.1,317669,169255
68,8.2,317652,169262
69,7.3,317631,169264
70,8.7,317617,169264
71,8.6,317599,169272
72,8.6,317580,169277
73,3,317566,169283
74,2.1,317549,169276
75,2.1,317532,169273
76,2.1,317518,169272
77,3,317505,169270
78,2.6,317491,169274
79,3.1,317485,169272
80,4.5,317491,169265
81,5.8,317499,169261
82,6.1,317510,169253
83,5.6,317520,169253
84,5.6,317536,169257
85,7.5,317550,169257
86,8.7,317567,169262
87,7.8,317588,169258
88,9.2,317598,169252
89,8.7,317610,169246
90,7.5,317622,169241
91,8.5,317639,169242
92,8.7,317658,169237
93,9.5,317668,169225
94,9.7,317676,169216
95,9.5,317684,169207
96,10,317691,169197
97,8.7,317699,169188
98,2.7,317704,169175
99,6,317692,169178
100,3.4,317686,169163
101,8.5,317680,169175
102,9.5,317673,169187
103,9.7,317663,169197
104,9.5,317651,169205
105,9.2,317639,169216
106,9.2,317624,169224
107,9,317607,169231
108,8,317589,169235
109,6.1,317574,169240
110,7.3,317553,169245
111,6.8,317534,169240
112,6.3,317515,169237
113,5.7,317498,169238
114,4.3,317499,169228
115,6.6,317512,169218
116,5.3,317522,169198
117,7.3,317534,169176
118,7.7,317547,169150
119,8.2,317561,169127
120,7.6,317574,169114
121,8.6,317597,169114
122,3.2,317615,169124
123,4.1,317633,169132
124,2.6,317654,169139
125,2.9,317668,169152
126,7,317662,169166
127,8.5,317644,169173
128,9,317628,169186
129,9.2,317612,169204
130,9,317595,169213
131,8.7,317577,169216
132,8,317557,169218
133,7.7,317539,169218
134,7.8,317541,169199
135,8,317556,169173
136,8.7,317569,169157
137,9,317586,169145
138,9,317605,169145
139,9,317626,169154
140,9,317638,169163
141,6.6,317617,169179
142,8.3,317600,169188
143,8.2,317584,169192
144,8.8,317581,169179
145,9.2,317595,169163
146,9.2,317608,169168
147,6.8,317469,169225
148,7,317469,169209
149,6.8,317478,169192
150,6.7,317491,169173
151,2.8,317496,169152
152,4.5,317501,169130
153,3.3,317516,169127
154,1.9,317522,169109
155,6.1,317537,169098
156,6.8,317550,169077
157,3.1,317549,169057
158,5.7,317536,169035
159,3.4,317541,169016
160,5.1,317546,169000
161,1.2,317558,168989
162,3.8,317545,168986
163,3.4,317530,168981
164,1.4,317506,168972
165,0.7,317500,168982
166,2,317492,168992
167,0.5,317478,168983
168,1.85,317466,168994
169,1,317453,168992
170,0.9,317447,169004
171,1.8,317441,169019
172,2,317426,169028
173,3.6,317417,169037
174,2.4,317397,169039
175,1.9,317388,169027
176,2.3,317377,169037
177,1.7,317363,169043
178,1.7,317361,169053
179,1.9,317357,169073
180,1.6,317353,169094
181,1,317366,169106
182,3.1,317374,169089
183,3.5,317380,169071
184,3.9,317395,169063
185,4.6,317413,169058
186,4.6,317432,169048
187,1.1,317452,169026
188,0.9,317465,169015
189,2.5,317477,169009
190,3.8,317498,169007
191,3.5,317514,169002
192,3.3,317528,169006
193,5.2,317526,169024
194,3.1,317519,169043
195,4.7,317520,169063
196,7.2,317529,169085
197,6.1,317515,169097
198,6.3,317502,169108
199,6.1,317486,169125
200,5.3,317476,169146
201,4.7,317475,169165
202,6.6,317466,169176
203,4.5,317449,169185
204,1.6,317436,169186
205,3.3,317428,169169
206,2.3,317416,169158
207,2.1,317401,169142
208,2.1,317389,169125
209,2.9,317394,169098
210,2.6,317400,169081
211,3.5,317421,169075
212,5.1,317439,169069
213,4.3,317450,169054
214,1.8,317462,169039
215,1.8,317474,169033
216,2,317489,169027
217,4.7,317506,169028
218,3.1,317505,169048
219,3,317503,169061
220,3.3,317495,169076
221,4.6,317482,169096
222,5.1,317474,169106
223,5,317466,169120
224,4.6,317450,169135
225,3.9,317440,169151
226,3,317430,169148
227,2.3,317424,169136
228,2.8,317411,169127
229,3,317405,169116
230,3.4,317414,169099
231,3.3,317432,169087
232,5,317453,169078
233,4.3,317461,169064
234,3.6,317472,169050
235,3.3,317485,169047
236,2.8,317477,169071
237,4.6,317465,169086
238,5.2,317452,169101
239,3.5,317442,169116
240,3.6,317431,169122
241,5.2,317446,169156
242,5.2,317453,169174
243,4.5,317448,169196
244,5.3,317449,169216
245,5.6,317456,169234
246,2.9,317438,169240
247,4.3,317425,169229
248,4,317413,169215
249,2.2,317408,169207
250,3.1,317395,169209
251,2.2,317382,169207
252,2.1,317367,169200
253,2.1,317364,169204
254,3.2,317376,169222
255,2.7,317384,169232
256,2.5,317374,169246
257,1.7,317376,169261
258,1.2,317334,169284
259,1.1,317347,169285
260,2.9,317366,169300
261,3,317377,169306
262,1.7,317387,169301
263,2.2,317385,169285
264,2.7,317390,169270
265,2.7,317398,169252
